Model,Chart Location,Tab,Tab Name,Session,Chart,Strategy,Account,Start Time,End Time,Template Name,Test Mode / Lane,Leader Instrument,Required Strategy Class,Required HUD / Messenger,Required Chart Indicators,Required Exporters,Required Background Processes,Required Output Files,Account/Logger Requirement,Preflight Check,EOD Check,Notes
V1A,Left,1,VOL FADER Mode A- Pure V1A,RTH,3 min candle,VolState Fader,SimV1A Vol Fader 1,1035,1545,VolState Fader V1B Mode A(Pure V1A),Mode A - pure baseline,NQ primary; ES parallel only when ES test tabs are active,VolState_Fader or VolState_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Left,2,VOL FADER Mode A+(Context),RTH,3 min candle,VolState Fader,SimV1A Vol Fader 2,1035,1545,V1B - Mode A+(Context),Mode A+ - kill switch and bias context,NQ primary; ES parallel only when ES test tabs are active,VolState_Fader or VolState_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Left,3,VolState Mode B(Full V1B),RTH,3 min candle,VolState Fader,SimV1A Vol Fader 3,1035,1545,Mode B(Full V1B) all true,Mode B - full V1B context/footprint gate,NQ primary; ES parallel only when ES test tabs are active,VolState_Fader or VolState_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Middle,1,Kalman Fader Mode A,ETH,12 Range,KalmanPulse_Fader,SimV1A Kalman Fader 1,1035,1545,KalmanPulse Fader 1  A,Mode A - pure baseline,NQ primary; ES parallel only when ES test tabs are active,KalmanPulse_Fader or KalmanPulse_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Middle,1,Kalman Fade Mode A+,ETH,12 Range,KalmanPulse_Fader,SimV1A Kalman Fader 2,1035,1545,Mode A+ kill switch & bias true,Mode A+ - kill switch and bias context,NQ primary; ES parallel only when ES test tabs are active,KalmanPulse_Fader or KalmanPulse_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Middle,1,Kalman Fade Mode B,ETH,12 Range,KalmanPulse_Fader,SimV1A Kalman Fader 3,1035,1545,Mode B footprint +kill switch + bias = true,Mode B - full V1B context/footprint gate,NQ primary; ES parallel only when ES test tabs are active,KalmanPulse_Fader or KalmanPulse_Fader_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Right,1,Composite Momo Mode A,RTH,5 min candle,CompositeEdge_Momentum,SimV1A Composite Momentum 1,1035,1545,Mode A all false,Mode A - pure baseline,NQ primary; ES parallel only when ES test tabs are active,CompositeEdge_Momentum or CompositeEdge_Momentum_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Right,2,Composite Momo Mode A+,RTH,5 min candle,CompositeEdge_Momentum,SimV1A Composite Momentum 2,1035,1545,Mode A+ kill + bias = true,Mode A+ - kill switch and bias context,NQ primary; ES parallel only when ES test tabs are active,CompositeEdge_Momentum or CompositeEdge_Momentum_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V1A,Right,3,Composite Momo Mode B,RTH,5 min candle,CompositeEdge_Momentum,SimV1A Composite Momentum 3,1035,1545,Mode B all = true,Mode B - full V1B context/footprint gate,NQ primary; ES parallel only when ES test tabs are active,CompositeEdge_Momentum or CompositeEdge_Momentum_V1B per template,HUDMessengerV1B; HUDMessenger; TradeHUD daily bias where Mode A+/B uses context,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,No Python stage required for pure V1A; keep common exporters/scanner running for A+/B and audit unification,V1A\TradeLog; V1B\TradeLog for V1B-context templates; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,"Use TradeLogExporter_V1AB on each tab; ModelVersion=V1A for pure A, V1B for full-context B if that template is intentionally V1B; AccountNameFilter must equal Account",Account enabled; template matches row; A+ bias fresh if enabled; Mode B footprint signals fresh; exact account filter set,Confirm V1A/V1B trade logs updated and daily unified export includes correct model_version/account,Mode A+ and Mode B require the shared V1B context components even when the registry section is labeled V1A.
V3C,Top left,1,Expansion V1A,RTH,Uni 40-80-120,V3_Expansion_Rider_V3C,SimV3C-NQ-1A,,,NQ Fast 40-80-120,V3C Expansion lane 1A,NQ primary; ES parallel only when ES test tabs are active,V3_Expansion_Rider_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
